dataset_index,source_file,source_basename,source_parent,form_type,matched_intermediate,batch_index,record_id,review_required,num_rows,output_form_type
35,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7\สส 5_18 หน่วยที่7.pdf,สส 5_18 หน่วยที่7.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,constituency,True,35,file_00035,True,6,constituency
36,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8\สส 5_18 หน่วยที่8.pdf,สส 5_18 หน่วยที่8.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,constituency,True,36,file_00036,True,5,constituency
37,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8\สส5_18 บช หน่วยที่8.pdf,สส5_18 บช หน่วยที่8.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,party_list,True,37,file_00037,True,5,party_list
38,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9\สส 5_18 หน่วยที่9.pdf,สส 5_18 หน่วยที่9.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,constituency,True,38,file_00038,True,4,constituency
39,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9\สส5_18 บช หน่วยที่9.pdf,สส5_18 บช หน่วยที่9.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,party_list,True,39,file_00039,True,11,party_list
40,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1\สส 5_18 บช หน่วยที่ 1￼.pdf,สส 5_18 บช หน่วยที่ 1￼.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,party_list,True,40,file_00040,True,10,party_list
41,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1\สส 5_18 หน่วยที่ 1 ศาลาประชาคม ￼.pdf,สส 5_18 หน่วยที่ 1 ศาลาประชาคม ￼.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,constituency,True,41,file_00041,True,6,constituency
42,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10\สส 5_18 บช หน่วยที่ 10.pdf,สส 5_18 บช หน่วยที่ 10.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,party_list,True,42,file_00042,True,10,party_list
43,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10\สส 5_18 หน่วยที่ 10.pdf,สส 5_18 หน่วยที่ 10.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,constituency,True,43,file_00043,True,6,constituency
44,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11\สส 5_18 บช หน่วยที่ 11.pdf,สส 5_18 บช หน่วยที่ 11.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,party_list,True,44,file_00044,True,10,party_list
45,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11\สส 5_18 หน่วยที่ 11.pdf,สส 5_18 หน่วยที่ 11.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,constituency,True,45,file_00045,True,5,constituency
46,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2\สส 5_18 บช หน่วยที่ 2.pdf,สส 5_18 บช หน่วยที่ 2.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,party_list,True,46,file_00046,True,10,party_list
